Adjustment	adjustment	adjustment
adopted agronomic background of cultivar 'HD	adopt agronomic background of cultivar 'HD	background
adult plant leaf rust resistance gene Lr35	adult plant leaf rust resistance gene Lr35	Lr35
adult plant resistance gene Lr48	adult plant resistance gene Lr48	Lr48
adult plant resistance to powdery mildew	adult plant resistance to powdery mildew	resistance
advanced lines	advanced line	line
advance generation	advance generation	generation
advantages	advantage	advantage
advent of herbicide	advent of herbicide	advent
advent of molecular markers	advent of molecular marker	advent
Aegilops cylindrica	Aegilops_cylindrica	Aegilops_cylindrica
Aegilops cylindrica Host	Aegilops_cylindrica_Host	Aegilops_cylindrica_Host
Aegilops speltoides derived leaf rust resistance gene Lr	Aegilops_speltoides derive leaf rust resistance gene Lr	Lr
Aegilops tauschii accession TA1675	Aegilops_tauschii accession TA1675	TA1675
Aegilops triuncialis	Aegilops_triuncialis	Aegilops_triuncialis
Aegilops umbellulata	Aegilops_umbellulata	Aegilops_umbellulata
Aegilops variabilis	Aegilops_variabilis	Aegilops_variabilis
Aegilops ventricosa	Aegilops_ventricosa	Aegilops_ventricosa
AESTIVUM	AESTIVUM	AESTIVUM
AFLP analyses	AFLP analysis	analysis
AFLP band	AFLP band	band
AFLP marker locus XAAT	AFLP marker locus XAAT	XAAT
AFLP marker locus XACA	AFLP marker locus XACA	XACA
AFLP markers XACA	AFLP marker XACA	XACA
AFLP primers	AFLP primer	primer
AFLPs	AFLPs	AFLPs
A genome chromosomes of wheat	A genome chromosome of wheat	chromosome
Agent	Agent	Agent
aggressiveness	aggressiveness	aggressiveness
Agra Local'	Agra Local'	Local'
Agricultural Biotechnology Institute	Agricultural Biotechnology Institute	Institute
agricultural production systems	agricultural production system	system
agronomical traits	agronomical trait	trait
agronomic measurements	agronomic measurement	measurement
Agronomic suitability	agronomic suitability	suitability
agronomic traits of partial waxy wheat	agronomic trait of partial waxy wheat	trait
agronomic value of Rht8	agronomic value of Rht8	value
Agropyron	Agropyron	Agropyron
Agropyron chromosome	Agropyron chromosome	chromosome
Agropyron elongatum	Agropyron_elongatum	Agropyron_elongatum
aid of molecular markers	aid of molecular marker	aid
aim	aim	aim
Aimengniu I	Aimengniu I	I
Aimengniu II	Aimengniu II	II
Aimengniu III	Aimengniu III	III
Aimengniu IV	Aimengniu IV	IV
Aimengniu VII	Aimengniu VII	VII
aim of this study	aim of this study	aim
Aims	aim	aim
Alamoot	Alamoot	Alamoot
'Album'	'Album'	'Album'
alien gene Lr9	alien gene Lr9	Lr9
alien introgression	alien introgression	introgression
alien leaf rust resistance gene Lr19	alien leaf rust resistance gene Lr19	Lr19
alignments	alignment	alignment
Alka	Alka	Alka
alkali	alkali	alkali
alkali extraction method	alkali extraction method	method
alkali treatment	alkali treatment	treatment
allele enrichment	allele enrichment	enrichment
Allele number	allele number	number
allele of microsatellite locus	allele of microsatellite locus	allele
alleles	allele	allele
alleles Glu	allele Glu	Glu
alleles HMWx2	allele HMWx2	HMWx2
allele size	allele size	size
alleles of Xgwm	allele of Xgwm	allele
allelic pairs	allelic pair	pair
allelic STS marker	allelic STS marker	marker
allelic variation	allelic variation	variation
Al locus	Al locus	locus
allowed advances	allow advance	advance
Alondra	Alondra	Alondra
alpha	alpha	alpha
ALS	ALS	ALS
alternate method	alternate method	method
alternative efficient selection methods	alternative efficient selection method	method
alternative method to exam Pina	alternative method to exam Pina	method
Alvand	Alvand	Alvand
ambiguity	ambiguity	ambiguity
amount of SBW25	amount of SBW25	amount
amphiploid Hordeum chilense X Triticum aestivum	amphiploid Hordeum_chilense X Triticum_aestivum	Triticum_aestivum
amplification consistency	amplification consistency	consistency
Amplification consistency	amplification consistency	consistency
amplification of DNA fragments	amplification of DNA fragment	amplification
amplification pattern	amplification pattern	pattern
amplified fragment length polymorphism	amplify fragment length polymorphism	polymorphism
amplified fragment length polymorphisms	amplify fragment length polymorphism	polymorphism
amplified markers	amplify marker	marker
Amplified PCR products	amplify PCR product	product
amplified polymorphic DNA markers	amplify polymorphic DNA marker	marker
amplified polymorphic sequence	amplify polymorphic sequence	sequence
amplified products	amplify product	product
amplified region analyses	amplify region analysis	analysis
amplified region marker	amplify region marker	marker
amplified regions	amplify region	region
amplified sequences	amplify sequence	sequence
analog polymorphism	analog polymorphism	polymorphism
analyses of Hordeum chilense RAPD markers	analysis of Hordeum_chilense RAPD marker	analysis
ANALYSIS	analysis	analysis
Analysis of gene	analysis of gene	analysis
analysis of plant gene structure	analysis of plant gene structure	analysis
analyzed lines	analyze line	line
anamorph Septoria tritici	anamorph Septoria_tritici	Septoria_tritici
anaphase II	anaphase II	II
anchored PCR amplification of compound SSRs	anchor PCR amplification of compound SSRs	amplification
anchored PCR	anchor PCR	PCR
anchoring primers	anchor primer	primer
anchors	anchor	anchor
annual basis	annual basis	basis
anonymous markers	anonymous marker	marker
anthocyanin biosynthesis regulatory genes	anthocyanin biosynthesis regulatory gene	gene
Anthocyanin expression	anthocyanin expression	expression
anthocyanin genes	anthocyanin gene	gene
antibiotic resistance marker genes	antibiotic resistance marker gene	gene
antibiotics	antibiotic	antibiotic
Apache	Apache	Apache
aphid biotype	aphid biotype	biotype
aphid feeding	aphid feeding	feeding
applicability of ISSR	applicability of ISSR	applicability
application of molecular markers	application of molecular marker	application
application of molecular markers facilitated identification of individual plants	application of molecular marker facilitate identification of individual plants	identification
application of these markers	application of these marker	application
Application of this marker identified Lr34	application of this marker identify Lr34	application
Application of this PCR test	application of this PCR test	application
appropriate population	appropriate population	population
appropriate restriction enzyme	appropriate restriction enzyme	enzyme
APR	Apr	Apr
APR gene Lr48	Apr gene Lr48	Lr48
APR Lr48	Apr Lr48	Lr48
Arabidopsis thaliana	Arabidopsis_thaliana	Arabidopsis_thaliana
area	area	area
arithmetic	arithmetic	arithmetic
array of molecular markers	array of molecular marker	array
array of wheat plants	array of wheat plants	array
ARS Regional Small Grains Genotyping Centers	ARS Regional Small Grains Genotyping Centers	Centers
ARS sequences	ARS sequence	sequence
article	article	article
artificial conditions	artificial condition	condition
Asian noodles	Asian noodle	noodle
Asian wheat landraces	Asian wheat landrace	landrace
aspects of marker	aspect of marker	aspect
assay decreases	assay decrease	decrease
assayed starch synthase activity of granule	assay starch synthase activity of granule	activity
assays of starch synthase activity of granule	assay of starch synthase activity of granule	assay
assessed retention of wheat chromatin	assess retention of wheat chromatin	retention
assisted background selection	assist background selection	selection
assisted breeding	assist breeding	breeding
assisted breeding strategy	assist breeding strategy	strategy
assisted characterization of Asian wheat lines	assist characterization of Asian wheat line	characterization
assisted characterization of durum wheat Langdon	assist characterization of durum_wheat Langdon	characterization
assisted development	assist development	development
assisted evaluation of spring	assist evaluation of spring	evaluation
assisted gene	assist gene	gene
assisted germplasm evaluation	assist germplasm evaluation	evaluation
assisted identification of Yr9	assist identification of Yr9	identification
assisted recurrent selection	assist recurrent selection	selection
Assisted Selection	Assisted Selection	Selection
ASSISTED SELECTION	ASSISTED SELECTION	SELECTION
assisted selection of Dn2	assist selection of Dn2	selection
assisted selection of dormancy	assist selection of dormancy	selection
assisted selection of Glu	assist selection of Glu	selection
assisted selection of HMW glutenin alleles	assist selection of HMW glutenin allele	selection
assisted selection of Tsn1	assist selection of Tsn1	selection
assisted selection of wheat	assist selection of wheat	selection
assisted selection strategies	assist selection strategy	strategy
assisted selection technique	assist selection technique	technique
assisted selection technologies	assist selection technology	technology
assisted utilization of scab resistance QTLs	assist utilization of scab resistance QTLs	utilization
assisted wheat breeding	assist wheat breeding	breeding
assisted wheat breeding strategy	assist wheat breeding strategy	strategy
assisted wheat improvement	assist wheat improvement	improvement
associated friabilin	associate friabilin	friabilin
associated markers	associated marker	marker
associated soil	associate soil	soil
association of this locus	association of this locus	association
Associations	association	association
association study approach	association study approach	approach
Astella	Astella	Astella
Astella varieties	Astella variety	variety
Atrak	Atrak	Atrak
attempt	attempt	attempt
AUDPC	AUDPC	AUDPC
AUS1408	AUS1408	AUS1408
Australian	Australian	Australian
Australian conditions	Australian condition	condition
Australian cultivar CSP44	Australian cultivar CSP44	CSP44
Australian germplasm	Australian germplasm	germplasm
Australian Northern Wheat Improvement Program	Australian Northern Wheat Improvement Program	Program
Australian Puccinia graminis f. sp. tritici pathotype	Australian Puccinia_graminis_f._sp._tritici pathotype	pathotype
Australian wheats	Australian wheat	wheat
Australian white	Australian white	white
authenticity	authenticity	authenticity
authors	author	author
automated design of ISBP markers	automated design of ISBP marker	design
autumn	autumn	autumn
availability of combination of major rust resistance genes	availability of combination of major rust resistance gene	availability
available information	available information	information
available inoculum	available inoculum	inoculum
available microsatellite markers	available microsatellite marker	marker
available pedigree information	available pedigree information	information
available recombinants	available recombinants	recombinants
available translocation lines	available translocation line	line
Avena sativa L.	Avena_sativa_L.	Avena_sativa_L.
Avena species	Avena species	species
Average genetic diversity	average genetic diversity	diversity
average group yields	average group yield	yield
average PIC value	average PIC value	value
average polymorphism information content	average polymorphism information content	content
average reduction	average reduction	reduction
average spacing	average spacing	spacing
'Avocet'	'Avocet'	'Avocet'
Avocet	Avocet	Avocet
Avocet S	avocet S	S
AY596269	AY596269	AY596269
AY596270	AY596270	AY596270
B1a	B1a	B1a
B1 alleles	B1 allele	allele
B1	B1	B1
B1b alleles	B1b allele	allele
B1 flanking markers	B1 flank marker	marker
B1 homeoallele of wheat	B1 homeoallele of wheat	homeoallele
B1 null wheat lines	B1 null wheat line	line
B1 region	B1 region	region
B3a	B3a	B3a
B3abefg	B3abefg	B3abefg
B3 alleles	B3 allele	allele
B3b	B3b	B3b
B3c	B3c	B3c
B3d	B3d	B3d
B3g	B3g	B3g
B3 gene	B3 gene	gene
B3h	B3h	B3h
B3i	B3i	B3i
BAC contigs	BAC contigs	contigs
backcross breeding	backcross breeding	breeding
backcross combination	backcross combination	combination
backcross derivatives	backcross derivative	derivative
backcrosses	backcross	backcross
backcross generation	backcross generation	generation
backcross generations	backcross generation	generation
backcrossing program	backcross program	program
backcross introgression BC3F3	backcross introgression BC3F3	BC3F3
backcross progenies	backcross progeny	progeny
backcross progeny	backcross progeny	progeny
backcross program	backcross program	program
backgrounds	background	background
background selections	background selection	selection
Bacterial artificial chromosome	bacterial artificial chromosome	chromosome
Bam genotype	Bam genotype	genotype
Bam genotypes	Bam genotype	genotype
BaMMV	BaMMV	BaMMV
Bangladesh	Bangladesh	Bangladesh
Banking chromatin	Banking chromatin	chromatin
bar	bar	bar
BARLEY	BARLEY	BARLEY
barley chromosome 5H	barley chromosome 5H	5H
barley primer pairs	barley prime pair	pair
barley QTL	barley QTL	QTL
Barley yellow dwarf	Barley yellow dwarf	dwarf
based analysis	base analysis	analysis
based approach	base approach	approach
based assay	base assay	assay
based characterization	base characterization	characterization
based classifications of hard red winter wheat cultivars	base classification of hard red winter wheat cultivar	classification
based co	base Co	Co
based DIVA markers	base DIVA marker	marker
based DNA marker	base DNA marker	marker
based DNA markers	base DNA marker	marker
based end	base end	end
based gene introgression approach	base gene introgression approach	approach
based genetic map	base genetic map	map
based improvement of a microsatellite marker	base improvement of a microsatellite marker	improvement
based isolation of genes	base isolation of gene	isolation
based marker assay	base marker assay	assay
based marker pool	base marker pool	pool
based marker resources	base marker resource	resource
based microsatellite markers	base microsatellite marker	marker
based molecular markers	base molecular marker	marker
based molecular marker stm673acag	base molecular marker stm673acag	stm673acag
based physical map of chromosome 3BS	base physical map of chromosome 3BS	map
based platforms	base platform	platform
based polymorphism	base polymorphism	polymorphism
based polymorphism markers	base polymorphism marker	marker
based procedures	base procedure	procedure
based products	base product	product
based protocol	base protocol	protocol
based resolution	base resolution	resolution
based screening	base screening	screening
based selection of resistance gene combinations	base selection of resistance gene combination	selection
based selection procedures	base selection procedure	procedure
based sequence	base sequence	sequence
based STS marker	base STS marker	marker
based variant	base variant	variant
base pair band	base pair band	band
base pair	base pair	pair
base pairs	base pair	pair
base population	base population	population
Basic Local Alignment Search	Basic Local Alignment Search	Search
basic plot size	basic plot size	size
basis of amplified fragment length polymorphism	basis of amplify fragment length polymorphism	basis
basis of deletion line analysis	basis of deletion line analysis	basis
basis of results	basis of result	basis
basis of serially diluted plasmid	basis of serially dilute plasmid	basis
basis of Simple Sequence Repeat	basis of Simple sequence Repeat	basis
basis of these results	basis of these result	basis
battle	battle	battle
BAW1086	BAW1086	BAW1086
BaYMM	BaYMM	BaYMM
BaYMV	BaYMV	BaYMV
BC1	BC1	BC1
BC1F1 individuals	BC1F1 individual	individual
BC1F1 population	BC1F1 population	population
BC1 generation	BC1 generation	generation
BC1 lines	BC1 line	line
BC1 plants	BC1 plants	plants
BC2F1 generation	BC2F1 generation	generation
BC2F2 plants	BC2F2 plants	plants
BC2F4 generation	BC2F4 generation	generation
BC2F4 plants	BC2F4 plants	plants
BC2 generation	BC2 generation	generation
BC2 generations	BC2 generation	generation
BC2 plants	BC2 plants	plants
BC3F2 population individuals	BC3F2 population individual	individual
BC3F3 progenies	BC3F3 progeny	progeny
BC(5)F(1) generation	BC(5)F(1) generation	generation
BC5F2	BC5F2	BC5F2
BC5F3	BC5F3	BC5F3
BC cycles	BC cycle	cycle
BCF	BCF	BCF
BC generations	BC generation	generation
Bdv2	Bdv2	Bdv2
Bdv2 Thinopyrum intermedium source of barley yellow dwarf virus resistance	Bdv2 Thinopyrum_intermedium source of barley_yellow_dwarf_virus resistance	source
being donors	being donor	donor
better resistance to disease spread	good resistance to disease spread	resistance
better resistance to initial infection	good resistance to initial infection	resistance
Bezostaya	Bezostaya	Bezostaya
B genome	B genome	genome
B genomes	B genome	genome
B. graminis f. sp. tritici	B._graminis f. sp. tritici	tritici
Bhuneria graminis	Bhuneria graminis	graminis
Bian 1'	Bian 1'	1'
Bi	Bi	Bi
BI	Bi	Bi
Bill	Bill	Bill
BI locus	Bi locus	locus
bind to seed protein	bind to seed protein	bind
biochemical marker	biochemical marker	marker
biolistic system	biolistic system	system
biolistic transformation efficiencies of durum wheat	biolistic transformation efficiency of durum_wheat	efficiency
biolistic transformation experiments	biolistic transformation experiment	experiment
biological yield	biological yield	yield
biometric tools	biometric tool	tool
biotic stress resistance	biotic stress resistance	resistance
bisphosphate carboxylase	bisphosphate carboxylase	carboxylase
black suppressed type	black suppress type	type
blast algorithms	blast algorithm	algorithm
blast resistance	blast resistance	resistance
BLAST searches	blast search	search
Blb	Blb	Blb
Bl	Bl	Bl
blind experiments	blind experiment	experiment
blot analysis	blot analysis	analysis
Blue Boy II	Blue Boy II	II
Blumeria graminis	Blumeria_graminis	Blumeria_graminis
Blumeria graminis f. sp. tritici	Blumeria_graminis_f._sp._tritici	Blumeria_graminis_f._sp._tritici
B of wheat	B of wheat	B
bombardment of isolated scutella	bombardment of isolated scutellum	bombardment
Boron deficient soils	Boron deficient soil	soil
boron efficient genotypes	boron efficient genotype	genotype
boron efficient varieties	boron efficient variety	variety
Boron use efficiency	Boron use efficiency	efficiency
bp allele of Xgwm469	bp allele of Xgwm469	allele
bp allele of Xgwm	bp allele of Xgwm	allele
bp allele to coleoptile elongation	bp allele to coleoptile elongation	allele
bp band	bp band	band
bp bands	bp band	band
bp	bp	bp
bp deletion	bp deletion	deletion
bp DNA fragment	bp DNA fragment	fragment
Bperu	Bperu	Bperu
bp fragment	bp fragment	fragment
bp fragments	bp fragment	fragment
bp genotypes	bp genotype	genotype
bp marker	bp marker	marker
bp marker fragment	bp marker fragment	fragment
bp PCR band	bp PCR band	band
bp polymorphic DNA fragment	bp polymorphic DNA fragment	fragment
bp polymorphic fragments	bp polymorphic fragment	fragment
bp product	bp product	product
bp segment	bp segment	segment
bp size	bp size	size
'Brando'	'Brando'	'Brando'
Brassica napus	Brassica_napus	Brassica_napus
Brazil	Brazil	Brazil
Brea	Brea	Brea
breadmaking quality	breadmaking quality	quality
breadmaking quality of wheat	breadmaking quality of wheat	quality
bread quality	bread quality	quality
bread wheat resistant to Septoria	bread_wheat resistant to Septoria	resistant
bread wheat sequences	bread_wheat sequence	sequence
bread wheat variety PBW	bread_wheat variety PBW	PBW
breakpoint position	breakpoint position	position
breakthrough	breakthrough	breakthrough
Breeders	breeder	breeder
breeders seed of a panel of commercial cultivars	breeder seed of a panel of commercial cultivar	seed
Breeders used molecular markers	breeder use molecular marker	marker
breeding efficiency	breeding efficiency	efficiency
breeding of resistant varieties	breeding of resistant variety	breeding
breeding of wheat	breeding of wheat	breeding
breeding population	breeding population	population
breeding practice	breeding practice	practice
breeding program	breeding program	program
breeding program MAS	breed program MAS	MAS
breeding programme	breed programme	programme
breeding scheme	breeding scheme	scheme
Breeding strategies	breed strategy	strategy
Breeding wheat cultivars	breed wheat cultivar	cultivar
Brigadier	Brigadier	Brigadier
bright prospects	bright prospect	prospect
British settlers	British settler	settler
broader genetic diversity	broad genetic diversity	diversity
Brown	Brown	Brown
brutal stem rust race Ug99	brutal stem rust race Ug99	Ug99
BSA	BSA	BSA
BS	BS	BS
BS concentration	BS concentration	concentration
Bt	Bt	Bt
bulked analysis	bulk analysis	analysis
bulked DNA	bulk DNA	DNA
Bulked DNA samples	bulk DNA sample	sample
bulked segregant analysis	bulk segregant analysis	analysis
Bulked segregant analysis	bulk segregant analysis	analysis
bulk grain lots	bulk grain lot	lot
Bulk segregant analysis	bulk segregant analysis	analysis
bulk segregation analysis of F	bulk segregation analysis of F	analysis
bulk soil	bulk soil	soil
bunt gene	bunt gene	gene
bunt reaction	bunt reaction	reaction
BW553	BW553	BW553
Bx17 gene shows marked similarity	Bx17 gene show mark similarity	similarity
Bx17 high	Bx17 high	high
Bx7 gene sequence	Bx7 gene sequence	sequence
Bx	Bx	Bx
By33	By33	By33
By8	By8	By8
By9	By9	By9
By	By	By
BYD	BYD	BYD
BYDV resistance gene Bdv2	BYDV resistance gene Bdv2	Bdv2
C0	C0	C0
C1	C1	C1
C80	C80	C80
CA9632	CA9632	CA9632
Cadenza	cadenza	cadenza
Cadenza	Cadenza	Cadenza
Cadet 6A long ditelosomic stock	Cadet 6A long ditelosomic stock	stock
'Cadet'	'Cadet'	'Cadet'
Calli	Calli	Calli
Callus	callus	callus
callus initiation	callus initiation	initiation
Canada Western Extra Strong lines	Canada Western Extra strong line	line
Candidate	candidate	candidate
candidate genes search	candidate gene search	search
candidate markers	candidate marker	marker
CAPS	CAPS	CAPS
CAPS markers	CAPS marker	marker
carbon Source	carbon source	source
carotenoid biosynthetic pathway	carotenoid biosynthetic pathway	pathway
carried QTLs	carry QTLs	QTLs
carrier chromosome markers	carrier chromosome marker	marker
carrier chromosomes	carrier chromosome	chromosome
carrying Lr19	carrying Lr19	Lr19
cases	case	case
Castle Hill	Castle Hill	Hill
casual pathogen of wheat stripe rust	casual pathogen of wheat stripe rust	pathogen
categories	category	category
causal agent of powdery mildew	causal agent of powdery mildew	agent
causal agent Tilletia indica Mitra	causal agent Tilletia_indica Mitra	Mitra
caused economic losses	cause economic loss	loss
CCA	CCA	CCA
CCG	CCG	CCG
CCN	CCN	CCN
CCN resistance genes	CCN resistance gene	gene
ccsu	ccsu	ccsu
cDNA fragment	cDNA fragment	fragment
cell counts	cell count	count
Cell numbers	cell number	number
center	center	center
central floret	central floret	floret
centromere	centromere	centromere
cereal breeding	cereal breeding	breeding
cereal crops	cereal crop	crop
cereal cyst nematode	cereal_cyst_nematode	cereal_cyst_nematode
cereal cyst nematode resistance genes	cereal_cyst_nematode resistance gene	gene
cereals	cereal	cereal
cetyltrimethylammonium bromide	cetyltrimethylammonium bromide	bromide
challenge	challenge	challenge
Cham	Cham	Cham
Chamran	Chamran	Chamran
Chancellor	Chancellor	Chancellor
Characterisation of wheat leaf rust resistance gene Lr34	characterisation of wheat_leaf_rust resistance gene Lr34	characterisation
Characterization of phytoene synthase 1 gene	characterization of phytoene synthase 1 gene	gene
Characterization of Psy genes	characterization of Psy gene	characterization
characterization of RAPD markers	characterization of RAPD marker	characterization
Charger	Charger	Charger
'Chaupon' rye	'Chaupon' rye	rye
chemical control measures	chemical control measure	measure
China	China	China
Chinese Baihuomai	Chinese Baihuomai	Baihuomai
Chinese landrace Taiwan Xiaomai	Chinese landrace Taiwan Xiaomai	Xiaomai
Chinese resistant landraces	Chinese resistant landrace	landrace
Chinese Spring	Chinese spring	spring
'Chinese Spring'	'Chinese Spring'	Spring'
Chinese Spring	Chinese Spring	Spring
Chinese Spring intervarietal molecular marker linkage map	Chinese Spring intervarietal molecular marker linkage map	map
Chinese Spring nulli	Chinese Spring nulli	nulli
Chinese wheat cultivars	Chinese wheat cultivar	cultivar
Chi square contingency test	Chi square contingency test	test
chlorophenol	chlorophenol	chlorophenol
chlorophenol red assay	chlorophenol red assay	assay
chohesiveness	chohesiveness	chohesiveness
choice of recurrent parent	choice of recurrent parent	choice
chromatin	chromatin	chromatin
chromosomal localization of DNA markers	chromosomal localization of DNA marker	localization
Chromosomal location of powdery mildew resistance gene Pm16	chromosomal location of powdery mildew resistance gene Pm16	location
chromosomal location of SrAn1	chromosomal location of SrAn1	location
chromosomal region	chromosomal region	region
chromosomal segments	chromosomal segment	segment
chromosome 1A	chromosome 1A	1A
chromosome 1B	chromosome 1B	1B
chromosome 1DL	chromosome 1DL	1DL
chromosome 2A	chromosome 2A	2A
chromosome 2BS	chromosome 2BS	2BS
chromosome 3A	chromosome 3A	3A
chromosome 3BS	chromosome 3BS	3BS
chromosome 3 of rice	chromosome 3 of rice	chromosome
chromosome 4D	chromosome 4D	4D
chromosome 5BL	chromosome 5BL	5BL
chromosome 5BS	chromosome 5BS	5BS
chromosome 5D	chromosome 5D	5D
chromosome 5HL controlling seed dormancy	chromosome 5HL controlling seed dormancy	dormancy
chromosome 6BS	chromosome 6BS	6BS
chromosome 7DL	chromosome 7DL	7DL
chromosome arm 1AS	chromosome arm 1AS	1AS
chromosome arm 1RS controlled rust resistance locus Yr9	chromosome arm 1RS control rust resistance locus Yr9	Yr9
chromosome arm 1RS of Neuzucht	chromosome arm 1RS of Neuzucht	1RS
chromosome arms	chromosome arm	arm
Chromosome assignment of PCR products	chromosome assignment of PCR product	assignment
chromosome configuration 20II	chromosome configuration 20II	20II
chromosome donor	chromosome donor	donor
chromosome doubling	chromosome doubling	doubling
chromosome GA	chromosome Ga	Ga
chromosome group	chromosome group	group
chromosome marker	chromosome marker	marker
Chromosome number	chromosome number	number
chromosomes 3BS	chromosome 3BS	3BS
chromosomes 5A	chromosome 5A	5A
chromosomes 5D	chromosome 5D	5D
chromosome specificity	chromosome specificity	specificity
chromosome walking	chromosome walking	walking
CI	CI	CI
CIMMYT wheat cultivars	CIMMYT wheat cultivar	cultivar
'Claire'	'Claire'	'Claire'
Claire	Claire	Claire
classification	classification	classification
cleavage amplification polymorphic sequence	cleavage amplification polymorphic sequence	sequence
Clermont	Clermont	Clermont
climatic conditions	climatic condition	condition
cline	cline	cline
cloned fragment	clon fragment	fragment
clone DNA sequences	clone DNA sequence	sequence
cloned Psy	clon Psy	Psy
cloned sequence	clon sequence	sequence
close linkage	close linkage	linkage
closer marker	close marker	marker
cluster analysis of molecular marker data	cluster analysis of molecular marker datum	analysis
Cluster	cluster	cluster
cluster of wheat rust resistance genes	cluster of wheat rust resistance gene	cluster
clusters	cluster	cluster
CM82036	CM82036	CM82036
cm	cm	cm
CM	CM	CM
cM distance	cM distance	distance
CMH81A575	CMH81A575	CMH81A575
cM interval	cM interval	interval
cM of gene Lr9	cM of gene Lr9	cM
cM to Yr26	cM to Yr26	cM
Cobbitty	Cobbitty	Cobbitty
cochicine	cochicine	cochicine
co	Co	Co
CO	Co	Co
coded seed protein	code seed protein	protein
coding region	code region	region
coding regions of all Glu	code region of all Glu	region
coding sequences	code sequence	sequence
'Coker 797' *4	'Coker 797' *4	*4
